caseid,Trip number,Purpose_category,Date,Day of week,Start time - first hour,Main mode,Distance (km),Travel Time (minutes),Distance (miles) - rounded,Distance category,Origin eastings,Origin northings,Destination eastings,Destination northings,Travel time source (stated / calculated),Weight_2,trip_number_numeric,potential_duplicate_flag,date_day_mismatch_flag,distance_category_zero_flag,distance_category_review_flag,zero_distance_flag,mode_distance_review_flag,trip_internal_gap_flag,trip_starts_above_1_flag,valid_distance,distance_analysis_valid,valid_travel_time,travel_time_source,valid_od_geometry,same_origin_destination_flag,od_straight_line_km,reported_to_straight_line_ratio,spatial_distance_review_flag,origin_lta,destination_lta,od_scope,mode_group,distance_band,distance_band_order,start_hour,time_band,day_type,is_car_van,is_car_driver,is_car_passenger,is_active_wheeling,is_public_transport,is_short_trip,is_mid_distance_trip,is_short_car,is_mid_car,is_mid_public_transport,respondent_trip_count,validated_chain_member,short_car_chain_status,ModeKey,PurposeKey,DistanceKey,DateKey,TimeKey,OriginLTAKey,DestinationLTAKey
6426568932,$trip2pipe,commute,2024-11-18,Monday,8.0,Car/ van (as the driver),3.167127,7.112201,2.0,2,513751.0,104849.0,514936.0,102599.0,stated,1.1826830250215286,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.542975619230353,1.2454413546279102,False,West Sussex,West Sussex,Within same LTA,Car / van,1 to <2 miles,2,8.0,06:00-10:00,Weekday,True,True,False,False,False,True,False,True,False,False,2,False,Not identified in validated chain,2.0,2,2.0,20241118.0,9.0,15.0,15.0
6426612362,$trip1pipe,commute,2024-11-19,Tuesday,7.0,Car/ van (as the driver),4.298035,9.730712,2.5,3,468750.0,173766.0,471655.0,173552.0,stated,0.3626798240081534,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.912871607194522,1.475531907889195,False,Reading,Reading,Within same LTA,Car / van,2 to <5 miles,3,7.0,06:00-10:00,Weekday,True,True,False,False,False,True,False,True,False,False,1,False,Not identified in validated chain,2.0,2,3.0,20241119.0,8.0,10.0,10.0
6426612408,$trip1pipe,commute,2024-11-19,Tuesday,7.0,Car/ van (as the driver),95.329585,69.464039,60.0,7,472013.0,99338.0,516482.0,156969.0,stated,1.3116695457005805,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,72.79302248155382,1.3095978398775387,False,Hampshire,Surrey,Between TfSE LTAs,Car / van,50 to <100 miles,7,7.0,06:00-10:00,Weekday,True,True,False,False,False,False,False,False,False,False,1,False,,2.0,2,7.0,20241119.0,8.0,4.0,13.0
6426650000,$trip1pipe,shopping,2024-11-20,Wednesday,14.0,Public bus service,1.018841,2.4452184000000003,0.5,1,531931.0,105210.0,532143.0,105910.0,stated,0.8176373609718751,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,0.7313986601026831,1.393003645723062,False,Brighton and Hove,Brighton and Hove,Within same LTA,Public transport,Under 1 mile,1,14.0,10:00-15:00,Weekday,False,False,False,False,True,True,False,False,False,False,1,False,,11.0,7,1.0,20241120.0,15.0,2.0,2.0
6426699522,$trip1pipe,commute,2024-11-21,Thursday,7.0,Walking,1.030494,12.365928,0.5,1,614467.0,157156.0,614844.0,157744.0,stated,1.4501953219893613,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,0.6984790619624901,1.4753398578686956,False,Kent,Kent,Within same LTA,Active / wheeling,Under 1 mile,1,7.0,06:00-10:00,Weekday,False,False,False,True,False,True,False,False,False,False,1,False,,15.0,2,1.0,20241121.0,8.0,6.0,6.0
6427124760,$trip1pipe,leisure,2024-11-21,Thursday,10.0,Car/ van (as the driver),47.356465,42.641135,30.0,6,477320.0,172934.0,514431.0,178151.0,stated,0.2898352380231579,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,37.47590439202235,1.26365102505921,False,Wokingham,Outside TfSE,Outbound,Car / van,25 to <50 miles,6,10.0,10:00-15:00,Weekday,True,True,False,False,False,False,False,False,False,False,2,True,,2.0,4,6.0,20241121.0,11.0,17.0,8.0
6427124760,$trip2pipe,leisure,2024-11-21,Thursday,14.0,Car/ van (as the driver),3.58586,12.702555,2.0,3,514431.0,178151.0,513917.0,175678.0,stated,0.2898352380231579,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,2.5258513416272144,1.419663913272862,False,Outside TfSE,Outside TfSE,Outside-to-outside,Car / van,2 to <5 miles,3,14.0,10:00-15:00,Weekday,True,True,False,False,False,True,False,True,False,False,2,True,Part of validated chain,2.0,4,3.0,20241121.0,15.0,8.0,8.0
6427633322,$trip1pipe,commute,2024-11-20,Wednesday,7.0,Car/ van (as the driver),10.099781,14.773666,6.0,4,463940.0,98958.0,465570.0,106054.0,stated,0.8881961044129976,1,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,7.280804625863819,1.3871792362237336,False,Portsmouth,Portsmouth,Within same LTA,Car / van,5 to <10 miles,4,7.0,06:00-10:00,Weekday,True,True,False,False,False,False,True,False,True,False,3,True,,2.0,2,4.0,20241120.0,8.0,9.0,9.0
6427633322,$trip2pipe,personal business,2024-11-20,Wednesday,16.0,Car/ van (as the driver),7.628213,12.425361,4.5,3,465570.0,106054.0,469034.0,111167.0,stated,0.8881961044129976,2,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,6.175926246321275,1.2351528654578392,False,Portsmouth,Hampshire,Between TfSE LTAs,Car / van,2 to <5 miles,3,16.0,15:00-19:00,Weekday,True,True,False,False,False,True,False,True,False,False,3,True,Part of validated chain,2.0,6,3.0,20241120.0,17.0,9.0,4.0
6427633322,$trip3pipe,other,2024-11-20,Wednesday,17.0,Car/ van (as the driver),19.044422,20.005827,10.0,5,469034.0,111167.0,464335.0,99209.0,stated,0.8881961044129976,3,False,False,False,False,False,False,False,False,True,True,True,stated,True,False,12.848126906284822,1.482272251738437,False,Hampshire,Portsmouth,Between TfSE LTAs,Car / van,10 to <25 miles,5,17.0,15:00-19:00,Weekday,True,True,False,False,False,False,True,False,True,False,3,True,,2.0,5,5.0,20241120.0,18.0,4.0,9.0
